,lat,lon,t
0,40.418481666666665,-86.90903333333333,2024-03-31 00:08:11
1,40.418485000000004,-86.90903333333333,2024-03-31 00:08:12
2,40.41849333333333,-86.90903333333333,2024-03-31 00:08:13
3,40.418498333333325,-86.90905,2024-03-31 00:08:14
4,40.418501666666664,-86.90905,2024-03-31 00:08:15
5,40.418501666666664,-86.909065,2024-03-31 00:08:16
6,40.418501666666664,-86.90908166666668,2024-03-31 00:08:17
7,40.418501666666664,-86.90909833333332,2024-03-31 00:08:18
8,40.418501666666664,-86.909115,2024-03-31 00:08:19
9,40.418501666666664,-86.90913166666667,2024-03-31 00:08:20
10,40.418501666666664,-86.90914666666667,2024-03-31 00:08:21
11,40.41851333333334,-86.90918000000002,2024-03-31 00:08:23
12,40.41851833333334,-86.90918000000002,2024-03-31 00:08:24
13,40.41852166666667,-86.90919666666665,2024-03-31 00:08:25
14,40.41851,-86.90921166666668,2024-03-31 00:08:26
15,40.418501666666664,-86.90921166666668,2024-03-31 00:08:27
16,40.41849333333333,-86.90921166666668,2024-03-31 00:08:28
17,40.41849333333333,-86.90921166666668,2024-03-31 00:08:29
18,40.418501666666664,-86.90921166666668,2024-03-31 00:08:30
19,40.418501666666664,-86.90919666666665,2024-03-31 00:08:31
20,40.418498333333325,-86.90919666666665,2024-03-31 00:08:32
21,40.418498333333325,-86.90918000000002,2024-03-31 00:08:33
22,40.418501666666664,-86.90918000000002,2024-03-31 00:08:34
23,40.418498333333325,-86.90916333333335,2024-03-31 00:08:35
24,40.418501666666664,-86.90914666666667,2024-03-31 00:08:36
25,40.41851,-86.90914666666667,2024-03-31 00:08:37
26,40.41851833333334,-86.90914666666667,2024-03-31 00:08:38
27,40.41853,-86.90916333333335,2024-03-31 00:08:39
28,40.41853,-86.90918000000002,2024-03-31 00:08:40
29,40.41853833333333,-86.90919666666665,2024-03-31 00:08:41
30,40.41854166666667,-86.90921166666668,2024-03-31 00:08:42
31,40.41853833333333,-86.90922833333335,2024-03-31 00:08:43
32,40.41853833333333,-86.909245,2024-03-31 00:08:44
33,40.41853833333333,-86.90927666666666,2024-03-31 00:08:45
34,40.41853833333333,-86.90929333333332,2024-03-31 00:08:46
35,40.41853833333333,-86.90932666666667,2024-03-31 00:08:47
36,40.41854166666667,-86.90934166666666,2024-03-31 00:08:48
37,40.41853833333333,-86.90935833333333,2024-03-31 00:08:49
38,40.418535,-86.909375,2024-03-31 00:08:50
39,40.41854166666667,-86.90940833333335,2024-03-31 00:08:51
40,40.41854666666667,-86.90942333333334,2024-03-31 00:08:52
41,40.418549999999996,-86.90944,2024-03-31 00:08:53
42,40.41855833333333,-86.90947333333332,2024-03-31 00:08:54
43,40.41856666666666,-86.90948833333331,2024-03-31 00:08:55
44,40.418571666666665,-86.90950499999998,2024-03-31 00:08:56
45,40.418575000000004,-86.90952166666665,2024-03-31 00:08:57
46,40.418575000000004,-86.90953833333333,2024-03-31 00:08:58
47,40.418571666666665,-86.90955333333333,2024-03-31 00:08:59
48,40.41856666666666,-86.90956999999999,2024-03-31 00:09:00
49,40.41856666666666,-86.90960333333332,2024-03-31 00:09:01
50,40.41856333333333,-86.90960333333332,2024-03-31 00:09:02
51,40.41855833333333,-86.90961833333334,2024-03-31 00:09:03
52,40.41856333333333,-86.90963500000001,2024-03-31 00:09:04
53,40.41855833333333,-86.90965166666668,2024-03-31 00:09:05
54,40.41856333333333,-86.90966833333333,2024-03-31 00:09:06
55,40.41856333333333,-86.909685,2024-03-31 00:09:07
56,40.41856333333333,-86.90970000000002,2024-03-31 00:09:08
57,40.41856666666666,-86.90971666666668,2024-03-31 00:09:09
58,40.418571666666665,-86.90973333333335,2024-03-31 00:09:10
59,40.418575000000004,-86.90976500000001,2024-03-31 00:09:11
60,40.418575000000004,-86.90978166666666,2024-03-31 00:09:12
61,40.418575000000004,-86.90979833333333,2024-03-31 00:09:13
62,40.418575000000004,-86.90981500000001,2024-03-31 00:09:14
63,40.418575000000004,-86.90982999999999,2024-03-31 00:09:15
64,40.418578333333336,-86.90984666666667,2024-03-31 00:09:16
65,40.41858333333332,-86.90986333333333,2024-03-31 00:09:17
66,40.41858666666668,-86.90988,2024-03-31 00:09:18
67,40.418594999999996,-86.90989666666668,2024-03-31 00:09:19
68,40.4186,-86.90989666666668,2024-03-31 00:09:20
69,40.41860833333333,-86.90992833333334,2024-03-31 00:09:22
70,40.41861166666667,-86.90994500000001,2024-03-31 00:09:23
71,40.41861166666667,-86.90996166666667,2024-03-31 00:09:24
72,40.41861166666667,-86.90997666666667,2024-03-31 00:09:25
73,40.418614999999996,-86.90999333333333,2024-03-31 00:09:26
74,40.418620000000004,-86.91000999999999,2024-03-31 00:09:27
75,40.41862333333333,-86.91002666666665,2024-03-31 00:09:28
76,40.41862333333333,-86.91004166666669,2024-03-31 00:09:29
77,40.41863166666667,-86.91009166666666,2024-03-31 00:09:30
78,40.41864833333333,-86.91010666666666,2024-03-31 00:09:31
79,40.41864833333333,-86.91013999999998,2024-03-31 00:09:32
80,40.41865166666666,-86.91017333333333,2024-03-31 00:09:33
81,40.41864833333333,-86.91018833333334,2024-03-31 00:09:34
82,40.41864833333333,-86.91022166666669,2024-03-31 00:09:35
83,40.41865166666666,-86.91023833333331,2024-03-31 00:09:36
84,40.418656666666664,-86.91025333333334,2024-03-31 00:09:37
85,40.41867666666667,-86.91028666666669,2024-03-31 00:09:38
86,40.418688333333336,-86.91030333333333,2024-03-31 00:09:39
87,40.41870166666667,-86.91030333333333,2024-03-31 00:09:40
