Unnamed: 0,x,y,z,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,-0.01,,,,,,,,,,,,
,,,,,,-0.02,,,,,,,,,,,,
,,,,,,-0.04,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,0.0,,,,,,,,,,,
,,,,,,,0.0,,,,,,,,,,,
,,,,,,,-0.02,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0,,,,,,,,,
,,,,,,,,,0.0,,,,,,,,,
,,,,,,,,,-0.02,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,-0.01,,,,,,,,
,,,,,,,,,,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0,,,,,,,
,,,,,,,,,,,-0.01,,,,,,,
,,,,,,,,,,,0.0,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.01,,,,,,
,,,,,,,,,,,,-0.02,,,,,,
,,,,,,,,,,,,0.0,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,0.02,,,,,
,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,
,,,,,,,,,,,,,,0.0,,,,
,,,,,,,,,,,,,,-0.01,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.03,,,
,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,,,,,,,,-0.02,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,0.01,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,-0.01,
,,,,,,,,,,,,,,,,,-0.02,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,-0.02
,,,,,,,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,
