0,0,-0.02,175.31,-0.19,-174.19
0.01,-0.01,0,175.31,-0.19,-174.19
0,0,0,175.31,-0.19,-174.19
0,0,-0.05,175.31,-0.19,-174.19
0,-0.01,-0.01,175.31,-0.19,-174.19
-0.01,0,-0.02,175.31,-0.19,-174.19
0.01,-0.01,-0.02,175.31,-0.19,-174.19
-0.01,0,0,175.31,-0.19,-174.19
0,-0.02,-0.02,175.31,-0.19,-174.19
0,0,-0.01,175.31,-0.19,-174.19
0,0,-0.04,175.31,-0.19,-174.19
0,-0.02,-0.02,175.31,-0.19,-174.19
-0.01,0,0,175.31,-0.19,-174.19
0,0.01,-0.02,175.31,-0.19,-174.19
0,0,-0.04,175.31,-0.19,-174.19
0,0,-0.01,175.31,-0.19,-174.19
0.01,0,-0.03,175.31,-0.19,-174.19
0.01,0,-0.05,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
0,-0.01,-0.04,175.31,-0.19,-174.19
0.01,-0.02,-0.01,175.31,-0.19,-174.19
0.01,-0.01,-0.03,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
0,0.01,-0.02,175.31,-0.19,-174.19
0.01,0,-0.01,175.31,-0.19,-174.19
0,0,-0.01,175.31,-0.19,-174.19
0,0.01,-0.02,175.31,-0.19,-174.19
0,0,-0.01,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
0,0,-0.03,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
0,-0.01,0,175.31,-0.19,-174.19
0.01,0,-0.04,175.31,-0.19,-174.19
0.02,0,0,175.31,-0.19,-174.19
-0.01,0,-0.01,175.31,-0.19,-174.19
-0.01,0,-0.03,175.31,-0.19,-174.19
0.01,-0.01,-0.03,175.31,-0.19,-174.19
0,0.01,0,175.31,-0.19,-174.19
0,0.01,-0.01,175.31,-0.19,-174.19
0,0,-0.01,175.31,-0.19,-174.19
-0.02,0,-0.02,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
0,0,0,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
-0.01,-0.01,-0.02,175.31,-0.19,-174.19
-0.01,0,-0.01,175.31,-0.19,-174.19
0.01,0,0,175.31,-0.19,-174.19
0,-0.01,0,175.31,-0.19,-174.19
-0.01,-0.03,0,175.31,-0.19,-174.19
0,0,0,175.31,-0.19,-174.19
0,0,0,175.31,-0.19,-174.19
0.02,0,0,175.31,-0.19,-174.19
0,0,0,175.31,-0.19,-174.19
0,-0.01,-0.01,175.31,-0.19,-174.19
0.01,0,-0.01,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
0,0,-0.05,175.31,-0.19,-174.19
0,0,-0.01,175.31,-0.19,-174.19
34:13.0,4025.6272N,8654.7188W,,,
0,0.01,0,175.31,-0.19,-174.19
0.02,0,-0.03,175.31,-0.19,-174.19
0.01,-0.01,-0.02,175.31,-0.19,-174.19
-0.01,-0.01,0,175.31,-0.19,-174.19
0,-0.01,-0.01,175.31,-0.19,-174.19
0,0.01,-0.01,175.31,-0.19,-174.19
0.01,0,-0.03,175.31,-0.19,-174.19
0,-0.01,-0.02,175.31,-0.19,-174.19
0.01,0,0.01,175.31,-0.19,-174.19
0,0.01,-0.04,175.31,-0.19,-174.19
0.01,0,-0.01,175.31,-0.19,-174.19
0,-0.02,-0.02,175.31,-0.19,-174.19
0,0,-0.01,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
0,-0.01,-0.02,175.31,-0.19,-174.19
0.01,-0.01,-0.03,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
0,0,-0.02,175.31,-0.19,-174.19
0,-0.01,0,175.31,-0.19,-174.19
